,Comments
531,Dubai police giving respect to all and treating everyone as equal
532,Very hard to receive the document after registering a traffic accident
533,Please solve my problem and stop people to robb
534,Thank you from my heart
535,I want to check my block
536,"The website is very user friendly, easy to navigate and gives every possible information about any individual cases and the status at a click of a button."
537,I am so happy about Dubai rules thanks Dubai government
538,Very quick service and Easy to Use for all level User.
539,Very easy to use for a Fleet Supervisor and get all detail about fine from Dubai police app.
540,Help full
541,Good app
542,Good
543,"Hi, Sir my name Abdulhanan i have 2 company yesterday night 2am my labour sleeping in the room Aweer immigration take so I will go there tolk  police What happen Wy boring man he tell me boring the passport I will depart man I will ask what happen he never talk to me then said go same room other people have local arbab other he take man outside but my local not here he is duty out of country so please help me Sir my work is go please help me Sir"
544,how I cheek fine
545,You are great !
546,I am very impressed
547,MashaAllah a excellent job is doing by Dubai police
548,ease of use
549,Thanks
550,Thank you the application is amazing
551,I want to check my Dubai status
552,English versi n?
553,Can t check to Agree to the Terms and Condition
554,Hi
555,excellant
556,Thanks
557,Thank you and I wish you more progress and progress
558,Everything I liked
559,I m looking a police officer proffession but im indian nationality person ...
560,Its impossible to use
561,I keep getting accident notifications which I want to stop. How do I stop it.
562,As always perfect service thank you
563,nothing
564,Love UAE
565,good
566,Same time no reply
567,Excellent service
568,VERY GOOD
569,The site comments and my father is logged on
570,I have to request about my curfew fine once i requesting call the agent its not will takere
571,"Good ...
A Very nice helpfully app..
B time saver.."
572,Fast transaction and very convenient
573,It is easy to access
574,Want to know why we got wrong fine yesterday.
575,Hi
576,great
577,Happy and very easy to acess
578,Thanks
579,"I could not get a passport loss certificate. The Father died and did not work for children who lost their passports. I have reviewed the Refa'ah police station, Bdbi and the cats and did not benefit me something. They said this was not their jurisdiction"
580,Pay failed?
581,I submitted an application for policei clearance certificate on 1st Dec till now 14jan I m still waiting to receive it. I have sent several  emails but I have not got any updates.
582,A simple traffic accident took 3 days ago and did not send the technical report and did not have the incident
583,Thanks for Smart Services
584,"Sometimes English version is being translates to Russian automatically. The translation in Russian is not proper. And can not switch to arabic, to switch the interface language to english, when the page is opened automatically with russian translation."
585,I am from Nepal my name is Gautam Kumar Manandhar. I want to work in both the police. I am currently serving in the Nepal Army.
586,Easy to use
587,Easy to ACCESS
588,"more than great
And its absolute
The security and security of the public
God bless you more and more"
589,Very well
590,Thanks
591,Masha Allah Ali Hassan Management and Organization
592,It gives you wellness in the mighty and precision effort and the work and every year and you are fine ... What to avoid me from the text of my violations! Hahahahahahaha
593,"I do not have any feedback for six days, ref. 220045083079"
594,I live in the UAE
595,Good app
596,Great
597,Sar i rak overtaking emarjancy rak police give me fine 3000aed and stop my liecene one years plz halp me i can give fine but stop my licence no good i have not so many many i have poor plz
598,But I can t go because I was scammed and I lost all my money and I can t pay my travel now. And Your Highness now my economic situation.
600,You Very kind  sir
601,Thank you
602,Waste knowledge
603,excellent
604,Thank you Dubai to help people
605,I hope you are the time of success and success
606,I can t find if I have a ban or absconding
607,"Please kindly hide the value of irregularities
with all gratitude and appreciation"
608,THIS IS GOOD
609,Hallo sir I need clearance certificates for RTA.
610,Sos!!!!i here need help in doubletree2022 no phone!!help!!! He want kill me
611,I need help i in doubletree2022 sos!!!!!!!
612,very nice
613,I can t see the button to change language for English...
614,good
615,Thanks
616,So easy prosses
617,Best
618,Very good
619,"I had a very bad experience from dubai Al Qusais Police station, i was disappointed in their final accident report of the incident, today 24 12 20 between 11 AM to 11.30 am my car met with an accident today at Abu Hail Road, i was going on a straight lane and the second party hit me in the back while he was changing lane, eventhough i was on a straight lane after online complaint and visiting the police station the whole scenario changed, i became the guilty one, they fined me a 500AED. this was a very bad experience i had from my 3 years of living in dubai, still expecting positive reply from you side.
thank you"
620,Good
621,"I already paid for my clearance certificate and I have not received any email about the progress.
I have not received a document for my fingerprints also."
622,Excellent service.
623,"After difficulty of knowing the service, the location is not valid for data for many days and many tendencies without benefit"
624,PlZ send my report
625,Nothing
626,Taking the amount is not restored and second I do not know why rejection
627,Ease of use and speed
628,Masha allaah very good service and fast service
629,I couldn t move to the next step of the system to make A report
630,Thanks
631,"Really nice interface. Easy to use. Lots of information.
Very helpful for everyone"
632,Good
633,Severity of progress
634,thanks for your nice service
635,The application needs very highly optimization I have continued to be modified application
636,i need help for traffic fine j97063
637,"Very good supporting app,
thanks to Dubai Police"
638,Good
639,God bless you
640,Totally easy to handle because of online system .. thanks to Dubai Police...
641,Good experience
642,Very good
643,i had call to 911 to inform my problem co it was a critcal sitatuion they came and listen my problem but they couldnt solve it was big for me that some one will tell me that i am sellinh drugs
644,Easy access
645,Be well
646,Unclear process
647,good
648,"Dubai police is one of the amazing police in the world we feel safe and happy always 

Love for uae"
649,How to offer a job
650,Very helpful and easy
651,Good
652,"good, excellent"
653,Thanks
654,Perfect service ever
655,Very help full
656,"Set up a Payment center for collecting Small Financial cases at airport.

Some people do not even know and they get caught unaware at airports.

I faced it twice,so i end up checking all the time before travelling.

It is humiliating for people who are not even aware if any amount is outstanding as sometimes case documents reach your old locations.

Or the staff who is handling leaves the job"
657,"I have a problem and I could not solve it and I did not want to email no




 Hussein cities
 Mon, 12 14 20 7 10 10 PM
 
 the message
 
peace
I have a Saudi car and I am a Saudi citizen of the car's science.
The car number 63305 Q"
658,Happy
659,Amazing
660,"i like all services but i am looking for traffic fine discount 
i love Dubai police"
661,Excellent services
662,"Very difficult to use
It didn t help and gave me no information

Horrible site"
663,easy to use
664,I am clicking on next and nothing happens
665,The measures are not incomprehensible
666,OK
667,Every thing is good
668,tre
669,Great service
670,i want to pay my fine but it shows pending transaction exist i cannot proceed with the payment.with reference no.137412280.please help me. thanks.
671,How can I check my blockpoints
672,"Even though i changed my number on my id its showing thats is not correct phone number.
I went to nearest polise station and updated my number"
673,accident  reports
674,UAE Is Nice country all ways I m happy for uae
675,"unable to make payment, due to technical error"
676,Car a66161 dubai
677,"It was easy and fast, the best app"
678,Very good service
679,Very helpful for outside    UAE
680,How can I add accused details when I don t know the spammers
681,gfg
682,Very very nice service
683,Cute
684,Quickly answer for inquiries
685,Awesome experience
686,Very good service
687,I happy this smart app Dubai police
688,Thanks
689,Very easy and very fast process. Overall Excellent service.
690,Excellent service
691,My brother was suspended at Al-Rhidiya Police Station Dubai Salaq asked for Ajman Mavi limit on request as possible
692,I have to make sure I don t have any financial case In UAE
693,Excellent
694,"The man is proud of your efforts and is happy that an Arab country like the UAE is seeking the best and looking for a person's happiness and a deceased.
You are all respect and appreciation"
695,At a violation of Dubai police and no one overlooks information to help me
696,very convenient program to use.  thank u so much
697,I wish a system for driving license irregularities
698,Thanks
699,I could not complete the complaint
700,I try to move ahead for fine payment but it is not go ahead and show different msgs again again
701,The complaint can not be sent or even loaded Screen Shot
702,Good service
703,Where is the button for English.
704,Good service
705,Excellent
706,Nice
707,Very bad
708,What I knew how to see the incident report and not explained the way
709,I need help about my trafic fine
710,Can t chose the option of reversing!
711,Great service
712,Thanks
713,I didnt get my certificate until now.
714,I want need UAE police help.
715,It s
716,the easiest way
717,Good
718,Accident report
719,Program at the top of magnificence and thank Dubai Police
720,"thanks,"
721,Good
722,While not using the old number which is associated with my ID how can I check the details
723,jkHASDFCJasndc.kDSN
724,Easy to use
725,Am trying to register my details. South African Consulate  General
726,Thank you Dubai Police app.. more convenient and helpful...
728,I have a missing check and a report from yesterday and there is no reply or speed of his response.
729,Thank you for easy website
730,Hy
731,"Good evening
I could not change the mobile number via the site"
732,I lost connection during the payment process . I tried to connect again and submit my request for police clearance. The system indicates in red that the payment transaction is pending . But it doesn t give me an option to go and make the payment .
733,Appreciate
734,I suggest that text messages are sent to all the public with a traffic awareness or any other time in several languages ​​and thank you for Dubai Police
735,I can t do the search with plate number
736,I NEED TO TAKE ACCIDENT REPORT
737,Great
738,Thank you very much for your services
739,"What to say everything was easy to manage.
Excellent Service."
740,Thnks you
741,Well maintained website with correct information
742,Its easy way to fill up the foam.
743,Thank you for excellent services
744,Most convenient.... Accurate... Pace of reply.. Hats off
745,Islamic use
746,Very users friendly
747,U
748,"After the completion of the amendment, the word was pressed, send him several times, but not send and attempt was repeatedly restored"
750,Good website
751,It was easy sir after this smart police mashin when i update my id in muaqbat police staion
752,How can i avail this service when I m out of the country without a UAE number?
753,"The Dubai Police has the best service in the world.
I ve been living in the UAE for the past 8 years and I m very impressed by the security that this country maintains.
You are simply the best."
754,UAE POLICE  IS A GOOD SERVICE .VERY HAPPY
755,"Hi Sir, Tried 5 times Not received the OTP SMS so the application is not able to submit for Police clearance certificate."
756,"The program is more than wonderful, simple and easy to use on security
I wish you good luck"
757,"There is no cooperation in the police station during non-official working times, although it is mentioned that working hours at the center 24 hours"
758,I m not able to give my mobile details. It says wrong mobile number!!!!
759,Utter rubbish keeps going into loops asking for the detail over and over.  It is better not to have a site than to have a garbage experience for people.
760,"The service provide by RTA is excellent and prompt in action.

All the best"
761,very amazing and quick helpful service really apricate
762,"Not user friendly and technical problem. This is Dubai Smart Police app, no excuse the app is not working"
763,I asked where to apply for a  Good Conduct Certificate . Chat person gave me a web link to apply on. Link took me back to the same page. Chat person did not check if I was ok with link.
764,What rubbish.. Doesnt work well nor does the App.
765,"Treatment
the"
766,Service whites
767,Getting a report online and wait for 2 days doesn t make any sense
768,The application is not working. It has errors and doesn t give any help
769,"Im not sure the info I have put is correct i got confused for example credit card should i put mine or the criminals  , it should be a little bit more clear or an option that i click to explain more on what exactly to write"
770,Oh my God. Mashallah it s really Amazing. May Allah live long SHAIKHS of Dubai. I love Dubai police so so much..may Allah live long Dubai and government Dubai shaikhs of Dubai and people s of Dubai
771,Good
773,"I wanted to lodge my complaint on unknown overseas call from +442035143562, i blocked several times but the number keep changing and call continued. Please help, as i am sure this is Scam. 
Thank you,"
774,The options list do not respond to
775,Good
776,The server can now be reached
777,The download link does not work in Safari browser
778,I am not able to report a crime. It keeps saying no special characters allowed and I didn t use any
779,"I have an urgent query and your system is not accepting, please call me if possible. 00923245093005"
780,I m not sure if previous messages were sent from this email or another but disregard previous sent messages sorry for the trouble
781,Good
782,I have apply on 16 08 2020 still i did not reserved
783,Salute Dubai Police........
784,good service!!
785,"Very good service, thanks."
786,"The report shared is not up to the mark
The report is incomplete and the garage is not accepting the report"
787,nothing
788,my niebors are broken help
789,The program is suggested to be simplified and seas through the opening of the link any of the beginning
790,it didn t recognize my emirates ID number
791,No reply by chat service customer . No replies to email send
792,"Cant find where you change language to English in the front page.
Should make two webpage , one in Arabic and one in  English."
793,"CLEAR,EASY AND FAST PROCEDURE"
794,"I PUT ALL THE REQUEST , IN ALL THE CRITERIA , 
I FILLED ALL THE PLACES - FINALLY IT S NOT SUBMIT SEVERAL TIMES"
795,"Hello
Happiness and happiness God saved them

 I hope that cars outside the state and the outlets are closed and I am stuck, and I can not come to the UAE to renew the license of the car and peace be upon you
Mobile 966541682665 Saudi Arabia Tabuk City"
796,"i am trying to submit an e-crime application. i reached step 3 but i am not able to submit. 
It would be appreciated if you can contact me on 050 512 1984 or khalid bjeirmi hotmail.com
As i am not sure if my application was submitted.
Many thanks - Khalid"
797,"I have been trying both the website and dubai police app, and on both I m having issues get clearance letter.
On computer when I send the request for OTP and I enter the code it s not progressing to the next step. And on Android app I m getting error   server is not available try again later .
Absolutely a horrible experience for such service."
798,Happy
799,It s not clear if my complaint is submitted or not
800,The complaint has not been sent
801,Hi Sir  it s me pasang thing i net to Dubai policy jobs
802,After 6 sytem goes off not being able to apply
803,"Masha Allah, excellent support."
804,Sir Aik bnda hai usne job k liye mujhse paise liye the ab de nhi raha na cl utha raha hai Ab wo marne ki dhamiyan deraha hai mujhe plzzz meri help kren uske sare msg mere pass mojood hain
805,Our distinctive service Lord help you
806,I cannot upload and browse photo
807,Why do I need to visit a police station to update my mobile number? I could have just maybe scan my ID and change it. Just a suggestion
